,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_duality_gap,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
33,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,42,0.007902083001681603,1.2865422329476408,0.0023881620317425245,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
34,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,63,0.011080583004513755,1.2864518424967217,0.00014517977815042826,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
35,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,94,0.015630708003300242,1.2864500638722736,2.0538291840566103e-06,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
36,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,141,0.022675708009046502,1.286450063678706,1.1778178432564346e-10,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
37,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,211,0.032723083000746556,1.2864500636787066,2.9756197506003446e-12,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
38,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,316,0.03411729200161062,1.286450063678706,4.154454558147336e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
39,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,0,0.0012226669932715595,3.763112848392327,3.235410700204877,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
40,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,1,0.00252004100184422,1.592831126255932,0.5851901582263082,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
41,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,2,0.0023192499938886613,1.422311257057006,0.2959798071577915,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
42,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,3,0.0029876250046072528,1.3564054037550473,0.1538581411059874,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
43,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,4,0.0023514579952461645,1.3352428413435806,0.13147697145474457,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
44,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,6,0.0022478750033769757,1.3152641828333869,0.07769731471685981,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
45,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,9,0.002941958009614609,1.2887531666581744,0.021316735520473973,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
46,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,13,0.0034434999979566783,1.2866970036936478,0.0029530725854296502,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
47,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,19,0.002865249989554286,1.2864522093644197,0.00040053196977818395,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
48,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,28,0.004201874995487742,1.2864500654223527,1.9174395739840477e-05,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
49,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,42,0.00450829099281691,1.2864500636793073,1.7537783492116432e-07,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
50,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,63,0.006331625001621433,1.2864500636787062,2.7403412872217814e-10,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
51,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,94,0.00649679200432729,1.2864500636787068,1.3500311979441904e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
52,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",hybrid[cluster_updates=True],breheny[dataset=Rhee2006],0,141,0.006277041000430472,1.2864500636787068,1.361133428190442e-13,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
53,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,0,0.00012058299034833908,3.763112848392327,3.235410700204877,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
54,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,1,0.0006485829944722354,1.810706244392077,1.6010780855847484,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
55,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,2,0.0006760840042261407,1.449655790036492,0.9721786939869218,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
56,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,3,0.0007597089861519635,1.3503756958417845,0.42816554281165964,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
57,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,4,0.0008745840023038909,1.3187271206221884,0.17229528154931195,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
58,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,6,0.0008387910056626424,1.301521774802309,0.11874191553731106,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
59,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,9,0.0008832080056890845,1.2903979255769502,0.030233644286545847,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
60,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,13,0.0011063340061809868,1.2866703920062854,0.00433981601372202,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
61,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,19,0.001301374999457039,1.2864515327692694,0.00033441647464016455,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
62,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,28,0.0016675840015523136,1.2864500668533818,1.2438750459642378e-05,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
63,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,42,0.002305916990735568,1.2864500636787843,2.2808580935063105e-07,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
64,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,63,0.003051082996535115,1.286450063678706,4.155165100883096e-11,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
65,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,94,0.0037867500068387017,1.2864500636787066,7.149836278586008e-14,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
66,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",oracle,breheny[dataset=Rhee2006],0,141,0.003827958003967069,1.2864500636787066,7.149836278586008e-14,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
67,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",pgd[fista=False],breheny[dataset=Rhee2006],0,0,0.0012068749929312617,3.763112848392327,3.235410700204877,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
